ID,Blinded_codes,Pop,Rep,Temp,Duration,Counts,RH,Exposure
5E,50C,KSS,A,50C,2hr,2,47,Eggs
6F,50C,KSS,B,50C,2hr,1,47,Eggs
3C,48C,KSS,A,48C,2hr,64,55,Eggs
8D,48C,KSS,B,48C,2hr,73,55,Eggs
3A,30C,KSS,A,30C,2hr,227,55,Eggs
6B,30C,KSS,B,30C,2hr,217,55,Eggs
