Location,day,temp,duration,count,Date Collected
UEA,B,30,2,96,Jan/Feb '25
UEA,B,30,2,85,Jan/Feb '25
UEA,B,30,2,98,Jan/Feb '25
UEA,B,30,2,82,Jan/Feb '25
UEA,B,30,2,90,Jan/Feb '25
UEA,B,30,2,90,Jan/Feb '25
UEA,B,30,2,95,Jan/Feb '25
UEA,B,30,2,77,Jan/Feb '25
UEA,B,30,2,96,Jan/Feb '25
UEA,B,30,5,85,Jan/Feb '25
UEA,B,30,5,110,Jan/Feb '25
UEA,B,30,5,66,Jan/Feb '25
UEA,B,30,5,104,Jan/Feb '25
UEA,B,30,5,105,Jan/Feb '25
UEA,B,30,5,97,Jan/Feb '25
UEA,B,30,5,109,Jan/Feb '25
UEA,B,30,5,78,Jan/Feb '25
UEA,B,30,5,105,Jan/Feb '25
UEA,B,40,2,74,Jan/Feb '25
UEA,B,40,2,80,Jan/Feb '25
UEA,B,40,2,110,Jan/Feb '25
UEA,B,40,2,95,Jan/Feb '25
UEA,B,40,2,78,Jan/Feb '25
UEA,B,40,2,86,Jan/Feb '25
UEA,B,40,2,77,Jan/Feb '25
UEA,B,40,2,74,Jan/Feb '25
UEA,B,40,2,95,Jan/Feb '25
UEA,B,40,5,95,Jan/Feb '25
UEA,B,40,5,80,Jan/Feb '25
UEA,B,40,5,87,Jan/Feb '25
UEA,B,40,5,86,Jan/Feb '25
UEA,B,40,5,93,Jan/Feb '25
UEA,B,40,5,86,Jan/Feb '25
UEA,B,40,5,82,Jan/Feb '25
UEA,B,40,5,87,Jan/Feb '25
UEA,B,40,5,68,Jan/Feb '25
UEA,B,42,2,95,Jan/Feb '25
UEA,B,42,2,100,Jan/Feb '25
UEA,B,42,2,96,Jan/Feb '25
UEA,B,42,2,86,Jan/Feb '25
UEA,B,42,2,94,Jan/Feb '25
UEA,B,42,2,81,Jan/Feb '25
UEA,B,42,2,84,Jan/Feb '25
UEA,B,42,2,85,Jan/Feb '25
UEA,B,42,2,59,Jan/Feb '25
UEA,B,42,5,100,Jan/Feb '25
UEA,B,42,5,98,Jan/Feb '25
UEA,B,42,5,97,Jan/Feb '25
UEA,B,42,5,68,Jan/Feb '25
UEA,B,42,5,75,Jan/Feb '25
UEA,B,42,5,98,Jan/Feb '25
UEA,B,42,5,76,Jan/Feb '25
UEA,B,42,5,99,Jan/Feb '25
UEA,B,42,5,82,Jan/Feb '25
UEA,B,44,2,81,Jan/Feb '25
UEA,B,44,2,81,Jan/Feb '25
UEA,B,44,2,92,Jan/Feb '25
UEA,B,44,2,73,Jan/Feb '25
UEA,B,44,2,95,Jan/Feb '25
UEA,B,44,2,90,Jan/Feb '25
UEA,B,44,2,62,Jan/Feb '25
UEA,B,44,2,104,Jan/Feb '25
UEA,B,44,2,98,Jan/Feb '25
UEA,B,44,5,87,Jan/Feb '25
UEA,B,44,5,86,Jan/Feb '25
UEA,B,44,5,77,Jan/Feb '25
UEA,B,44,5,84,Jan/Feb '25
UEA,B,44,5,85,Jan/Feb '25
UEA,B,44,5,105,Jan/Feb '25
UEA,B,44,5,74,Jan/Feb '25
UEA,B,44,5,100,Jan/Feb '25
UEA,B,44,5,83,Jan/Feb '25
UEA,B,46,2,40,Jan/Feb '25
UEA,B,46,2,40,Jan/Feb '25
UEA,B,46,2,57,Jan/Feb '25
UEA,B,46,2,93,Jan/Feb '25
UEA,B,46,2,57,Jan/Feb '25
UEA,B,46,2,17,Jan/Feb '25
UEA,B,46,2,5,Jan/Feb '25
UEA,B,46,2,51,Jan/Feb '25
UEA,B,46,2,34,Jan/Feb '25
UEA,B,46,5,0,Jan/Feb '25
UEA,B,46,5,1,Jan/Feb '25
UEA,B,46,5,4,Jan/Feb '25
UEA,B,46,5,0,Jan/Feb '25
UEA,B,46,5,0,Jan/Feb '25
UEA,B,46,5,0,Jan/Feb '25
